name,prediction
6E3U_protein_w_pocket_n2,0.997493
6E3T_protein_w_pocket_n36,0.99740463
6E3T_protein_w_pocket_n1,0.9967147
6E3U_protein_w_pocket_n7,0.9959859
6E3T_protein_w_pocket_n14,0.9958899
6E3U_protein_w_pocket_n1,0.99588627
6E3T_protein_w_pocket_n26,0.9942407
6F83_protein_w_pocket_n8,0.99410236
6E3T_protein_w_pocket_n6,0.99406004
6E3U_protein_w_pocket_n4,0.99259174
6E3U_protein_w_pocket_n6,0.9888698
5OVE_protein_w_pocket_n1,0.98566973
6E3T_protein_w_pocket_n9,0.9836118
5OVE_protein_w_pocket_n2,0.96263385
6E3T_protein_w_pocket_n12,0.9620191
6E3T_protein_w_pocket_n22,0.96151805
5OVE_protein_w_pocket_n9,0.9576529
6E3T_protein_w_pocket_n3,0.9521771
6E3T_protein_w_pocket_n29,0.9337778
6E3U_protein_w_pocket_n23,0.92566335
6F83_protein_w_pocket_n6,0.9200798
6E3T_protein_w_pocket_n2,0.860388
5OVE_protein_w_pocket_n8,0.84052557
6E3T_protein_w_pocket_n11,0.7664246
5OVE_protein_w_pocket_n12,0.61701715
6F83_protein_w_pocket_n4,0.37088484
6F83_protein_w_pocket_n13,0.30312586
6F83_protein_w_pocket_n15,0.28504074
6F83_protein_w_pocket_n11,0.28504074
6E3U_protein_w_pocket_n16,0.24328181
6E3T_protein_w_pocket_n10,0.19144234
6F83_protein_w_pocket_n9,0.17676046
6E3T_protein_w_pocket_n20,0.10638049
6E3T_protein_w_pocket_n7,0.087002575
5OVE_protein_w_pocket_n16,0.08029029
6E3T_protein_w_pocket_n25,0.05583938
5OVE_protein_w_pocket_n7,0.039518267
6F83_protein_w_pocket_n14,0.039080948
6E3T_protein_w_pocket_n15,0.03829515
6E3U_protein_w_pocket_n5,0.0243876
6E3U_protein_w_pocket_n8,0.02167803
6E3T_protein_w_pocket_n35,0.011440575
6E3T_protein_w_pocket_n13,0.010877281
6E3U_protein_w_pocket_n15,0.010067642
6E3T_protein_w_pocket_n30,0.008927643
6F83_protein_w_pocket_n7,0.00798282
6E3T_protein_w_pocket_n4,0.0067966282
6E3T_protein_w_pocket_n32,0.0044352915
6E3T_protein_w_pocket_n21,0.0035013258
6E3T_protein_w_pocket_n19,0.0032312572
6E3T_protein_w_pocket_n24,0.002903074
6E3U_protein_w_pocket_n18,0.0025115907
5OVE_protein_w_pocket_n4,0.002162069
5OVE_protein_w_pocket_n5,0.001788348
5OVE_protein_w_pocket_n19,0.0014854372
6E3T_protein_w_pocket_n17,0.001224339
6E3T_protein_w_pocket_n18,0.00101915
5OVE_protein_w_pocket_n11,0.000887692
5OVE_protein_w_pocket_n15,0.0007841885
6F83_protein_w_pocket_n16,0.0006098151
6E3T_protein_w_pocket_n8,0.000518322
5OVE_protein_w_pocket_n3,0.0004951954
6E3T_protein_w_pocket_n31,0.00043207407
6E3U_protein_w_pocket_n13,0.00039169192
6E3T_protein_w_pocket_n23,0.0003823638
6E3U_protein_w_pocket_n19,0.00033453107
5OVE_protein_w_pocket_n17,0.000305295
6E3U_protein_w_pocket_n22,0.0003014505
6E3T_protein_w_pocket_n28,0.00028535724
6E3U_protein_w_pocket_n3,0.00028431416
6E3U_protein_w_pocket_n9,0.00025221705
6E3U_protein_w_pocket_n17,0.00024074316
5OVE_protein_w_pocket_n24,0.00023466349
6E3T_protein_w_pocket_n33,0.00021412969
5OVE_protein_w_pocket_n18,0.00020676851
6E3U_protein_w_pocket_n25,0.00019598007
6F83_protein_w_pocket_n12,0.00017660856
6E3U_protein_w_pocket_n24,0.00017091632
6E3U_protein_w_pocket_n11,0.00015756488
5OVE_protein_w_pocket_n21,0.0001398027
6E3U_protein_w_pocket_n21,0.00011628866
6E3U_protein_w_pocket_n26,0.0001154542
5OVE_protein_w_pocket_n25,0.00011321902
6F83_protein_w_pocket_n10,0.0001090467
6E3T_protein_w_pocket_n34,0.00010150671
6F83_protein_w_pocket_n5,9.685755e-05
5OVE_protein_w_pocket_n6,9.584427e-05
6E3T_protein_w_pocket_n5,9.000301e-05
6E3U_protein_w_pocket_n12,8.046627e-05
5OVE_protein_w_pocket_n22,7.301569e-05
5OVE_protein_w_pocket_n23,7.2062016e-05
6E3T_protein_w_pocket_n27,7.164478e-05
5OVE_protein_w_pocket_n14,6.765127e-05
5OVE_protein_w_pocket_n20,5.64456e-05
6F83_protein_w_pocket_n3,5.3733587e-05
6F83_protein_w_pocket_n2,5.3733587e-05
5OVE_protein_w_pocket_n10,4.6133995e-05
5OVE_protein_w_pocket_n13,4.518032e-05
6E3U_protein_w_pocket_n10,4.5090914e-05
6E3T_protein_w_pocket_n16,4.0769577e-05
6E3U_protein_w_pocket_n14,3.054738e-05
6E3U_protein_w_pocket_n20,1.9162893e-05
6F83_protein_w_pocket_n1,5.543232e-06
